,team_code,Opponent_code,season,Round_code,Venue_code,Referee_code,Formation_code,Day_code,Result_code,GF,GF_rolling,GA,GA_rolling
2300,0,1,2013,13,0,29,12,0,2,2,2.0,1,0.3333333333333333
2301,0,14,2013,14,1,20,12,5,2,2,1.6666666666666667,0,0.3333333333333333
2302,0,29,2013,15,0,19,12,1,0,2,2.0,2,0.3333333333333333
2303,0,12,2013,16,1,14,12,6,2,2,2.0,0,1.0
2304,0,19,2013,17,0,25,12,5,1,1,2.0,5,0.6666666666666666
2305,0,21,2013,18,1,21,12,2,0,0,1.6666666666666667,0,2.3333333333333335
2306,0,31,2013,19,1,0,12,5,2,4,1.0,1,1.6666666666666667
2307,0,30,2013,20,0,28,12,5,1,0,1.6666666666666667,1,2.0
2308,0,33,2013,23,0,27,12,6,2,1,1.3333333333333333,0,0.6666666666666666
2309,0,11,2013,24,0,0,12,5,1,0,1.6666666666666667,6,0.6666666666666666
2310,0,32,2013,21,1,20,12,1,0,2,0.3333333333333333,2,2.3333333333333335
2311,0,20,2013,25,1,27,12,5,0,1,1.0,1,2.6666666666666665
2312,0,13,2013,26,0,24,12,6,1,0,1.0,3,3.0
2313,0,36,2013,27,1,18,12,1,2,3,1.0,1,2.0
2314,0,16,2013,28,0,14,12,6,2,3,1.3333333333333333,0,1.6666666666666667
2315,0,23,2013,29,1,29,12,0,2,3,2.0,0,1.3333333333333333
2316,0,35,2013,30,1,28,12,6,2,1,3.0,0,0.3333333333333333
2317,0,24,2013,31,0,19,12,6,2,2,2.3333333333333335,0,0.0
3040,0,12,2014,0,1,15,10,5,2,2,2.0,1,0.0
3041,0,13,2014,11,0,18,10,5,0,2,1.6666666666666667,2,0.3333333333333333
3042,0,18,2014,22,0,2,10,6,0,1,2.0,1,1.0
3043,0,20,2014,32,1,21,10,5,0,2,1.6666666666666667,2,1.3333333333333333
3044,0,1,2014,33,0,28,12,5,2,3,1.6666666666666667,0,1.6666666666666667
3045,0,33,2014,34,1,25,10,5,0,1,2.0,1,1.0
3046,0,11,2014,35,0,24,10,6,1,0,2.0,2,1.0
3047,0,16,2014,36,1,39,10,5,0,2,1.3333333333333333,2,1.0
3048,0,31,2014,37,0,18,12,5,2,2,1.0,0,1.6666666666666667
3049,0,9,2014,1,1,6,12,5,2,3,1.3333333333333333,0,1.3333333333333333
3050,0,32,2014,2,0,36,12,6,1,1,2.3333333333333335,2,0.6666666666666666
3051,0,21,2014,3,1,27,12,5,1,1,2.0,2,0.6666666666666666
3052,0,35,2014,4,0,4,12,5,2,1,1.6666666666666667,0,1.3333333333333333
3053,0,29,2014,5,1,0,12,2,2,1,1.0,0,1.3333333333333333
3054,0,30,2014,6,0,2,12,5,1,2,1.0,3,0.6666666666666666
3055,0,23,2014,7,1,19,12,5,2,4,1.3333333333333333,1,1.0
3056,0,19,2014,8,0,25,16,6,0,2,2.3333333333333335,2,1.3333333333333333
3057,0,26,2014,9,1,24,16,4,2,2,2.6666666666666665,1,2.0
3058,0,36,2014,10,0,30,12,6,2,2,2.6666666666666665,1,1.3333333333333333
3059,0,29,2014,12,0,6,12,3,1,0,2.0,2,1.3333333333333333
3060,0,30,2014,13,1,15,12,6,2,3,1.3333333333333333,0,1.3333333333333333
3061,0,20,2014,14,0,27,10,6,2,2,1.6666666666666667,0,1.0
3062,0,1,2014,15,1,2,12,6,2,5,1.6666666666666667,0,0.6666666666666666
3063,0,33,2014,16,0,24,16,5,1,1,3.3333333333333335,2,0.0
3064,0,18,2014,17,1,28,16,1,2,2,2.6666666666666665,1,0.6666666666666666
3065,0,12,2014,18,0,21,12,5,2,2,2.6666666666666665,1,1.0
3066,0,13,2014,19,1,0,12,6,2,2,1.6666666666666667,0,1.3333333333333333
3067,0,26,2014,20,0,18,16,2,2,2,2.0,1,0.6666666666666666
3068,0,36,2014,21,1,4,12,5,2,3,2.0,0,0.6666666666666666
3069,0,23,2014,23,0,28,12,5,2,2,2.3333333333333335,1,0.3333333333333333
3070,0,19,2014,24,1,2,12,5,2,4,2.3333333333333335,1,0.6666666666666666
3071,0,9,2014,25,0,27,12,5,2,1,3.0,0,0.6666666666666666
3072,0,11,2014,27,1,25,12,6,0,0,2.3333333333333335,0,0.6666666666666666
3073,0,16,2014,28,0,19,12,0,2,3,1.6666666666666667,1,0.3333333333333333
3074,0,32,2014,29,1,18,12,0,1,0,1.3333333333333333,1,0.3333333333333333
3075,0,21,2014,30,0,27,12,6,0,1,1.0,1,0.6666666666666666
3076,0,31,2014,26,1,2,12,2,0,0,1.3333333333333333,0,1.0
3077,0,35,2014,31,1,38,12,6,2,4,0.3333333333333333,1,0.6666666666666666
